age;job;marital;education;balance;housing;loan;contact;duration;campaign;result
58;management;married;tertiary;2143;1;0;unknown;261;1;0
44;technician;single;secondary;29;1;0;unknown;151;1;0
33;entrepreneur;married;secondary;2;1;1;unknown;76;1;0
47;blue-collar;married;unknown;1506;1;0;unknown;92;1;0
33;unknown;single;unknown;1;0;0;unknown;198;1;0
35;management;married;tertiary;231;1;0;unknown;139;1;0
28;management;single;tertiary;447;1;1;unknown;217;1;0
42;entrepreneur;divorced;tertiary;2;1;0;unknown;380;1;0
58;retired;married;primary;121;1;0;unknown;50;1;0
43;technician;single;secondary;593;1;0;unknown;55;1;0
41;admin.;divorced;secondary;270;1;0;unknown;222;1;0
29;admin.;single;secondary;390;1;0;unknown;137;1;0
53;technician;married;secondary;6;1;0;unknown;517;1;0
58;technician;married;unknown;71;1;0;unknown;71;1;0
57;services;married;secondary;162;1;0;unknown;174;1;0
51;retired;married;primary;229;1;0;unknown;353;1;0
45;admin.;single;unknown;13;1;0;unknown;98;1;0
57;blue-collar;married;primary;52;1;0;unknown;38;1;0
60;retired;married;primary;60;1;0;unknown;219;1;0
33;services;married;secondary;0;1;0;unknown;54;1;0
28;blue-collar;married;secondary;723;1;1;unknown;262;1;0
56;management;married;tertiary;779;1;0;unknown;164;1;0
32;blue-collar;single;primary;23;1;1;unknown;160;1;0
25;services;married;secondary;50;1;0;unknown;342;1;0
40;retired;married;primary;0;1;1;unknown;181;1;0
44;admin.;married;secondary;-372;1;0;unknown;172;1;0
39;management;single;tertiary;255;1;0;unknown;296;1;0
52;entrepreneur;married;secondary;113;1;1;unknown;127;1;0
46;management;single;secondary;-246;1;0;unknown;255;2;0
36;technician;single;secondary;265;1;1;unknown;348;1;0
57;technician;married;secondary;839;0;1;unknown;225;1;0
49;management;married;tertiary;378;1;0;unknown;230;1;0
60;admin.;married;secondary;39;1;1;unknown;208;1;0
59;blue-collar;married;secondary;0;1;0;unknown;226;1;0
51;management;married;tertiary;10635;1;0;unknown;336;1;0
57;technician;divorced;secondary;63;1;0;unknown;242;1;0
25;blue-collar;married;secondary;-7;1;0;unknown;365;1;0
53;technician;married;secondary;-3;0;0;unknown;1666;1;0
36;admin.;divorced;secondary;506;1;0;unknown;577;1;0
37;admin.;single;secondary;0;1;0;unknown;137;1;0
44;services;divorced;secondary;2586;1;0;unknown;160;1;0
50;management;married;secondary;49;1;0;unknown;180;2;0
60;blue-collar;married;unknown;104;1;0;unknown;22;1;0
54;retired;married;secondary;529;1;0;unknown;1492;1;0
58;retired;married;unknown;96;1;0;unknown;616;1;0
36;admin.;single;primary;-171;1;0;unknown;242;1;0
58;self-employed;married;tertiary;-364;1;0;unknown;355;1;0
44;technician;married;secondary;0;1;0;unknown;225;2;0
55;technician;divorced;secondary;0;0;0;unknown;160;1;0
29;management;single;tertiary;0;1;0;unknown;363;1;0
54;blue-collar;married;secondary;1291;1;0;unknown;266;1;0
48;management;divorced;tertiary;-244;1;0;unknown;253;1;0
32;management;married;tertiary;0;1;0;unknown;179;1;0
42;admin.;single;secondary;-76;1;0;unknown;787;1;0
24;technician;single;secondary;-103;1;1;unknown;145;1;0
38;entrepreneur;single;tertiary;243;0;1;unknown;174;1;0
38;management;single;tertiary;424;1;0;unknown;104;1;0
47;blue-collar;married;unknown;306;1;0;unknown;13;1;0
40;blue-collar;single;unknown;24;1;0;unknown;185;1;0
46;services;married;primary;179;1;0;unknown;1778;1;0
32;admin.;married;tertiary;0;1;0;unknown;138;1;0
53;technician;divorced;secondary;989;1;0;unknown;812;1;0
57;blue-collar;married;primary;249;1;0;unknown;164;1;0
33;services;married;secondary;790;1;0;unknown;391;1;0
49;blue-collar;married;unknown;154;1;0;unknown;357;1;0
51;management;married;tertiary;6530;1;0;unknown;91;1;0
60;retired;married;tertiary;100;0;0;unknown;528;1;0
59;management;divorced;tertiary;59;1;0;unknown;273;1;0
55;technician;married;secondary;1205;1;0;unknown;158;2;0
